1,"Amazon, Walmart Reel as Indian Curbs Plunge Market Into Chaos",,https://www.bloomberg.com/tosv2.html?vid=&uuid=e2c0ab00-25fa-11e9-977f-93a56593602c&url=L25ld3MvYXJ0aWNsZXMvMjAxOS0wMi0wMS9hbWF6b24td2FsbWFydC1yZWVsLWFzLWluZGlhbi1jdXJicy1wbHVuZ2UtbWFya2V0LWludG8tY2hhb3M=,"{'id': 'bloomberg', 'name': 'Bloomberg'}",2019-02-01T07:20:10Z,
2,Amazon Reconsidering Plan to Put Campus in New York City,"Amazon executives are re-evaluating a planned campus in New York City, people familiar with the matter said, turning up the heat on local officials who have rallied opposition to giving billions of dollars in tax incentives to one of the world’s most valuable…",https://www.wsj.com/articles/amazon-reconsidering-plan-to-put-campus-in-new-york-11549668969,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",2019-02-08T23:52:52Z,"Amazon.com Inc. executives are re-evaluating a planned campus in New York City, people familiar with the matter said, turning up the heat on local officials who have rallied opposition to giving billions of dollars in tax incentives to one of the worlds most valuable companies.
The discussions at Amazon have caused leading government officials in New York who support the project to worry that Amazon may abandon its plan to bring 25,000 jobs to Long Island City and $2.5 billion in investment, according to a government official.
..."
3,Products Yanked from Amazon in India as New Rules Take Effect,Thousands of items were pulled from Amazon’s India website—the first direct impact from the country’s new e-commerce rules. Walmart’s Flipkart is also scrambling to figure out what it needs to do to comply.,https://www.wsj.com/articles/products-yanked-from-amazon-in-india-to-comply-with-new-e-commerce-rules-11549046283,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",2019-02-01T19:32:05Z,"MUMBAIThousands of products were pulled from Amazon.com Inc.s India website Fridaythe first direct impact from the countrys new e-commerce rules, a day after warning the restrictions would hurt its business there.
Indias new restrictions, which went into effect Friday, were designed to help local retailers better compete against foreign-owned giants like Amazon and Walmart Inc., as the e-commerce market is poised to boom in the country. Amazon warned Thursday that Indias restrictions could crimp revenue this quarter..."
4,This Thriving City---and Many Others---Could Soon Be Disrupted by Robots,"When the machines come for our jobs, they’ll go to places like Lakeland, Fla., first, our columnist says.",https://www.wsj.com/articles/here-are-the-u-s-cities-most-likely-to-be-disrupted-by-robots-11549688401,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",2019-02-09T17:32:30Z,"Right in the center of Florida is a metro area thats home to more than 600,000 people, along with some of the most technologically sophisticated distribution centers in the country. 
In and around the city of Lakeland, youll find operations from Amazon, DHL (for Ikea), Walmart, Rooms to Go, Medline and Publix, along with a huge Geico call center, the worlds largest wine-and-spirits distribution warehouse and local factories that produce natural and artificial flavors and, of all things, glitter.
..."
5,Flipkart Billionaire Breaks His Silence After Walmart Ouster,,https://www.bloomberg.com/tosv2.html?vid=&uuid=0f1a2980-28e7-11e9-942a-3d3cb7a6ad46&url=L25ld3MvYXJ0aWNsZXMvMjAxOS0wMi0wNS9mbGlwa2FydC1iaWxsaW9uYWlyZS1icmVha3MtaGlzLXNpbGVuY2UtYWZ0ZXItd2FsbWFydC1vdXN0ZXI=,"{'id': 'bloomberg', 'name': 'Bloomberg'}",2019-02-05T00:32:45Z,
6,Amazon Reconsidering NYC HQ2,,https://www.bloomberg.com/tosv2.html?vid=&uuid=8a309bc0-2c09-11e9-9739-cb5db4bd4539&url=L25ld3MvdmlkZW9zLzIwMTktMDItMDkvYW1hem9uLXJlY29uc2lkZXJpbmctbnljLWhxMi12aWRlbw==,"{'id': 'bloomberg', 'name': 'Bloomberg'}",2019-02-09T00:58:22Z,
7,Woody Allen sues Amazon Studios,,https://www.bloomberg.com/tosv2.html?vid=&uuid=2e11a050-2b3c-11e9-a225-93930ecc45e0&url=L25ld3MvdmlkZW9zLzIwMTktMDItMDgvd29vZHktYWxsZW4tc3Vlcy1hbWF6b24tc3R1ZGlvcy12aWRlbw==,"{'id': 'bloomberg', 'name': 'Bloomberg'}",2019-02-08T00:20:49Z,
8,"ToyMakers, Amazon, Sports Startups (Podcast)",,https://www.bloomberg.com/tosv2.html?vid=&uuid=4b12a4a0-2bec-11e9-a555-379177a90d37&url=L25ld3MvYXVkaW8vMjAxOS0wMi0wOC90b3ltYWtlcnMtYW1hem9uLXNwb3J0cy1zdGFydHVwcy1wb2RjYXN0,"{'id': 'bloomberg', 'name': 'Bloomberg'}",2019-02-08T21:07:06Z,
9,India puts the squeeze on Walmart and Amazon,Stringent new ecommerce rules send unfortunate signal to international investors,https://www.ft.com/content/d1a2510a-261a-11e9-8ce6-5db4543da632,"{'id': 'financial-times', 'name': 'Financial Times'}",2019-02-04T10:39:45Z,"Walmart’s $16bn purchase last year of India’s ecommerce platform Flipkart seemed to show the country rolling out the red carpet for foreign investors. Now the US retailer and its compatriot Amazon — which has spent $5bn on its Indian operations since 2012 — have found the carpet pulled from under their feet. New rules that New Delhi brought into force last Friday, unveiled five weeks earlier, will upend their business models and squeeze the returns on their investments.
Though the Walmart deal — which made it India’s biggest foreign investor — provided nearly $2bn in tax revenues to New Delhi, in reality India has long been ambivalent about foreign direct investment in retail. Ostensibly, it is concerned about the impact on millions of small, family-run stores that dominate Indian retailing. 
Prime minister Narendra Modi’s ruling Bharatiya Janata party is sensitive, too, to the powerful traders who control the wholesale and distribution business. They fear being squeezed by any modernisation of India’s fragmented and inefficient supply chain. They also happen to be traditional BJP supporters.
New Delhi’s convoluted policies allow full foreign ownership of “single-brand” retailers, such as Gap or Ikea, but restrict it in “multi-brand” retail — keeping out foreign supermarket chains. India also allows foreign ownership of multi-brand wholesalers selling to businesses, but not to individuals.
Many ecommerce start-ups, often backed by foreign venture capital, paid little heed to these distinctions. In 2016, New Delhi clarified the rules. It allowed foreign-backed companies to run online marketplaces — connecting independent sellers with customers — but not to hold inventory or sell goods directly to consumers themselves.
Foreign-backed retailers found workarounds that seemed to comply with the letter of the rules, though traders complained they violated the spirit. Flipkart set up a wholesale distributor, Flipkart India, which supplies affiliated sellers. Amazon took 49 per cent of a joint venture that owns Cloudtail India — now the largest seller on Amazon’s Indian marketplace.
But with elections looming, Mr Modi has dramatically altered, or in the government’s words, clarified the rules. No seller on a foreign-funded online marketplace can source more than 25 per cent of its inventory from a wholesaler linked to the marketplace, or have any of its equity owned by the marketplace or associated companies. 
Amazon and Flipkart must hurriedly restructure their operations. Traders are jubilant, but the biggest winner may be Mukesh Ambani’s Reliance Retail, which is planning its own ecommerce portal and is not affected by the regulations.
Critics say Flipkart and Amazon have aggressively exploited ambiguities in the vaguely worded previous rules, that enabled them to build up wholesale operations — engaged in what local competitors charge was predatory pricing — earning far greater revenues than the marketplaces that are supposedly their main businesses. 
Yet New Delhi never challenged such arrangements; officials assured Walmart they had no issues with Flipkart’s operations. India’s competition authority approved the takeover in August. 
Making sudden changes, and rules restricting foreign but not domestic players, sends unfortunate signals to international investors. Pricing practices are best controlled by effective competition regulation, not ownership restrictions. The new ecommerce rules may help protect India’s small retailers. But they will reinforce the country’s reputation, not for red-carpet treatment of investors, but as a risky and unpredictable place to do business."
10,"The Wall Street Journal: Amazon invests in driverless start-up Aurora — includes tech for cars, trucks, and drones",Aurora is currently valued at more than $2 billion.,https://www.wsj.com/articles/amazon-invests-in-driverless-startup-aurora-valued-at-more-than-2-billion-11549555200,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",2019-02-07T17:17:58Z,"Amazon.com
AMZN, -2.21%
  Inc. has invested in high-profile autonomous-vehicle startup Aurora, giving the online retailer insight into the fast-developing world of driverless cars as it navigates its growing logistics operation.
Aurora Innovation Inc. raised more than $530 million in the latest funding round, which was led by venture firm Sequoia Capital and included capital from Amazon and funds and accounts advised by T. Rowe Price Group Inc.,
TROW, -1.00%
  the startup said Thursday. The investors valued the company at more than $2 billion.
This is a great amount of capital for us to build from for a while, said Chief Executive Chris Urmson, who helped start Googles self-driving program, now called Waymo, in 2009.
Aurora, founded in 2017 by veterans of autonomous-vehicle development, says it is developing a mixture of software and hardware that help vehicles see and navigate the world. The company early on signed deals with auto makers Volkswagen AG and Hyundai Motor Co. to eventually install its technology in their vehicles. 
An expanded version of this story appears on WSJ.com
Popular stories on WSJ.com:"
